Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	18:00:59	18:00:59	18:00:59			18:00:59	18:00:59	18:00:59	18:00:59	18:00:59	18:00:59	18:00:59	18:01:03	18:01:03	18:01:03	18:01:03	18:01:03	18:01:03			18:01:05	18:01:05		00:00:00		00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:02	00:00:05
1	18:01:07	18:01:07	18:01:07	18:01:07	18:01:07	18:01:07	18:01:07	18:01:07	18:01:07	18:01:07	18:01:07	18:01:07	18:01:12	18:01:12	18:01:12	18:01:12	18:01:12	18:01:12			18:01:15	18:01:15		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
2	18:01:15	18:01:15	18:01:15	18:01:15	18:01:15	18:01:15			18:01:15	18:01:15	18:01:15	18:01:15	18:01:18	18:01:18	18:01:18	18:01:18	18:01:18	18:01:18			18:01:19	18:01:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:04
3	18:01:20	18:01:20	18:01:20	18:01:20	18:01:20	18:01:20			18:01:20	18:01:20	18:01:20	18:01:20	18:01:22	18:01:22	18:01:22	18:01:22	18:01:22	18:01:22			18:01:23	18:01:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
4	18:01:23	18:01:23	18:01:23	18:01:23	18:01:23	18:01:23			18:01:23	18:01:23	18:01:23	18:01:23	18:01:25	18:01:25	18:01:25	18:01:25	18:01:25	18:01:25			18:01:26	18:01:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
5	18:01:26	18:01:26	18:01:26	18:01:26	18:01:26	18:01:26			18:01:26	18:01:26	18:01:26	18:01:26	18:01:28	18:01:28	18:01:28	18:01:28	18:01:28	18:01:28			18:01:29	18:01:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
6	18:01:29	18:01:29	18:01:29	18:01:29	18:01:29	18:01:29			18:01:29	18:01:29	18:01:29	18:01:29	18:01:31	18:01:31	18:01:31	18:01:31	18:01:31	18:01:31			18:01:32	18:01:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
7	18:01:32	18:01:32	18:01:32	18:01:32	18:01:32	18:01:32			18:01:32	18:01:32	18:01:32	18:01:32	18:01:34	18:01:34	18:01:34	18:01:34	18:01:34	18:01:34			18:01:35	18:01:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
8	18:01:35	18:01:35	18:01:35	18:01:35	18:01:35	18:01:35			18:01:35	18:01:35	18:01:35	18:01:35	18:01:38	18:01:38	18:01:38	18:01:38	18:01:38	18:01:38			18:01:38	18:01:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
9	18:01:38	18:01:38	18:01:38	18:01:38	18:01:38	18:01:38			18:01:38	18:01:38	18:01:38	18:01:38	18:01:41	18:01:41	18:01:41	18:01:41	18:01:41	18:01:41			18:01:41	18:01:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
10	18:01:41	18:01:41	18:01:41	18:01:41	18:01:41	18:01:41	18:01:41	18:01:41	18:01:41	18:01:41	18:01:41	18:01:41	18:01:44	18:01:44	18:01:44	18:01:44	18:01:44	18:01:44	18:01:44	18:01:44	18:01:44	18:01:44		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:00	00:00:03
