service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
15037,1,1,1,1,1,0,0,20190902,20200901
13616,0,0,0,0,0,1,1,20190302,20200901
14988,0,0,0,0,0,1,1,20190907,20200901
14987,0,0,0,0,0,1,1,20190907,20200901
14968,1,1,1,1,1,0,0,20190902,20200901
14970,1,1,1,1,1,0,0,20190902,20200901
13500,1,1,1,1,1,0,0,20190304,20200901
13787,0,0,0,0,0,1,1,20181013,20200901
13501,1,1,1,1,1,0,0,20190304,20200901
13502,1,1,1,1,1,0,0,20190304,20200901
13549,0,0,0,0,0,1,1,20190302,20200901
13503,1,1,1,1,1,0,0,20190304,20200901
13579,1,1,1,1,1,0,0,20190304,20200901
13617,0,0,0,0,0,1,1,20190302,20200901
13606,1,1,1,1,1,0,0,20190304,20200901
13630,0,0,0,0,0,1,1,20180303,20200901
13504,1,1,1,1,1,0,0,20190304,20200901
13505,0,0,0,0,0,1,1,20190302,20200901
14704,1,1,1,1,1,0,0,20190304,20200901
13551,0,0,0,0,0,1,1,20190302,20200901
14873,1,1,1,1,1,0,0,20190902,20200901
14874,1,1,1,1,1,0,0,20190902,20200901
14491,0,0,0,0,0,1,1,20190302,20200901
13527,1,1,1,1,1,0,0,20190304,20200901
13555,0,0,0,0,0,1,1,20190302,20200901
14992,0,0,0,0,0,1,1,20190907,20200901
14989,1,1,1,1,1,0,0,20190902,20200901
7109,0,0,0,0,0,1,1,20150606,20200901
13540,1,1,1,1,1,0,0,20190304,20200901
13541,0,0,0,0,0,1,1,20190302,20200901
13608,1,1,1,1,1,0,0,20190304,20200901
13573,0,0,0,0,0,1,1,20170623,20200901
15040,0,0,0,0,0,1,1,20190907,20200901
13609,1,1,1,1,1,0,0,20190304,20200901
13610,1,1,1,1,1,0,0,20190304,20200901
13622,0,0,0,0,0,1,1,20180127,20200901
10659,0,0,0,0,0,1,1,20170902,20200901
10657,1,1,1,1,1,0,0,20170901,20200901
7835,1,1,1,1,1,0,0,20151012,20200901
7836,0,0,0,0,0,1,1,20151011,20200901
13518,1,1,1,1,1,0,0,20190304,20200901
13556,0,0,0,0,0,1,1,20190302,20200901
7682,0,0,0,0,0,1,1,20150905,20200901
7669,1,1,1,1,1,0,0,20150901,20200901
13511,1,1,1,1,1,0,0,20190902,20200901
13513,0,0,0,0,0,1,1,20190302,20200901
13514,0,0,0,0,0,1,1,20190302,20200901
