SendingReason;Code
0;FirstConnection
1;Periodical
2;DiagnosticStateVariation
3;LogicalStateVariation
4;VehicleOn
5;VehicleOff
6;DoorsOpen
7;DoorsClosed
8;VehicleStopped
10;ExitFromStopSegment
11;ExitFromCrossroadSegment
12;EnterIntoStopSegment
13;EnterIntoCrossroadSegment
14;SpeedLimitExceeded
15;VirtualMarkerCrossing
16;VehicleCouplingVariation
17;DelayStateVariation
18;RestartDataConnectionForModemStall
19;ShutdownControlled
20;ChangeStatusAdditionalDiagnostics
21;NodeProximity
22;VideoRecordingStarted
23;VideoRecordingStopped
24;ManualControl
25;LocalizationStatusChanged
