service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10132,0,0,0,0,0,1,1,20170623,20191101
9234,1,1,1,1,1,0,0,20170123,20191101
11440,0,0,0,0,0,1,1,20181013,20191101
11441,0,0,0,0,0,1,1,20181013,20191101
12659,1,1,1,1,1,0,0,20180305,20191101
12664,1,1,1,1,1,0,0,20180305,20191101
12668,0,0,0,0,0,1,1,20181013,20191101
7662,1,1,1,1,1,0,0,20150901,20191101
7729,0,0,0,0,0,1,1,20150905,20191101
7726,1,1,1,1,1,0,0,20150901,20191101
7727,1,1,1,1,1,0,0,20150901,20191101
7663,1,1,1,1,1,0,0,20150901,20191101
8096,0,0,0,0,0,1,1,20160206,20191101
8088,1,1,1,1,1,0,0,20160201,20191101
11423,0,0,0,0,0,1,1,20180303,20191101
9248,1,1,1,1,1,0,0,20151214,20191101
7678,0,0,0,0,0,1,1,20150905,20191101
7664,1,1,1,1,1,0,0,20150901,20191101
9744,1,1,1,1,1,0,0,20150810,20191101
7519,0,0,0,0,0,1,1,20150808,20191101
12488,1,1,1,1,1,0,0,20180903,20191101
12489,1,1,1,1,1,0,0,20180903,20191101
11900,0,0,0,0,0,1,1,20150606,20191101
8089,1,1,1,1,1,0,0,20160201,20191101
7705,0,0,0,0,0,1,1,20150905,20191101
9924,1,1,1,1,1,0,0,20170522,20191101
7526,0,0,0,0,0,1,1,20150808,20191101
7109,0,0,0,0,0,1,1,20150606,20191101
8084,0,0,0,0,0,1,1,20160206,20191101
8072,1,1,1,1,1,0,0,20160201,20191101
10133,0,0,0,0,0,1,1,20170623,20191101
9235,1,1,1,1,1,0,0,20170123,20191101
10658,0,0,0,0,0,1,1,20180901,20191101
7689,1,1,1,1,1,0,0,20150901,20191101
11266,0,0,0,0,0,1,1,20180127,20191101
11265,1,1,1,1,1,0,0,20180126,20191101
10659,0,0,0,0,0,1,1,20170902,20191101
10657,1,1,1,1,1,0,0,20170901,20191101
12661,1,1,1,1,1,0,0,20181015,20191101
10740,0,0,0,0,0,1,1,20181013,20191101
10741,0,0,0,0,0,1,1,20181013,20191101
7835,1,1,1,1,1,0,0,20151012,20191101
7836,0,0,0,0,0,1,1,20151011,20191101
7681,0,0,0,0,0,1,1,20150905,20191101
7668,1,1,1,1,1,0,0,20150901,20191101
7682,0,0,0,0,0,1,1,20150905,20191101
7669,1,1,1,1,1,0,0,20150901,20191101
10663,1,1,1,1,1,0,0,20170901,20191101
7889,0,0,0,0,0,1,1,20151101,20191101
7890,0,0,0,0,0,1,1,20151101,20191101
8091,1,1,1,1,1,0,0,20160201,20191101
8000,0,0,0,0,0,1,1,20151224,20191101
10664,1,1,1,1,1,0,0,20170901,20191101
7536,1,1,1,1,1,0,0,20150810,20191101
7529,0,0,0,0,0,1,1,20150808,20191101
9745,1,1,1,1,1,0,0,20170508,20191101
10660,0,0,0,0,0,1,1,20180901,20191101
9901,1,1,1,1,1,0,0,20150901,20191101
7730,0,0,0,0,0,1,1,20150905,20191101
11617,1,1,1,1,1,0,0,20180502,20191101
11618,1,1,1,1,1,0,0,20180502,20191101
9253,1,1,1,1,1,0,0,20150901,20191101
10748,1,1,1,1,1,0,0,20181015,20191101
10742,0,0,0,0,0,1,1,20181013,20191101
10655,1,1,1,1,1,0,0,20180903,20191101
7721,0,0,0,0,0,1,1,20150606,20191101
7713,0,0,0,0,0,1,1,20150905,20191101
7697,1,1,1,1,1,0,0,20150901,20191101
7714,0,0,0,0,0,1,1,20150905,20191101
7698,1,1,1,1,1,0,0,20150901,20191101
10134,0,0,0,0,0,1,1,20170623,20191101
