service_id,date,exception_type
15037,20200101,2
13616,20200101,1
14988,20200101,1
14987,20200101,1
14968,20200101,2
14970,20200101,2
13500,20200101,2
13787,20200101,1
13501,20200101,2
13502,20200101,2
13549,20200101,1
13503,20200101,2
13579,20200101,2
13617,20200101,1
13606,20200101,2
13630,20200101,1
13504,20200101,2
13505,20200101,1
14704,20200101,2
13551,20200101,1
14873,20200101,2
14874,20200101,2
14491,20200101,1
13527,20200101,2
13555,20200101,1
14992,20200101,1
14989,20200101,2
7109,20200101,1
13540,20200101,2
13541,20200101,1
13608,20200101,2
13573,20200101,1
15040,20200101,1
13609,20200101,2
13610,20200101,2
13622,20200101,1
10659,20200101,1
10657,20200101,2
7835,20200101,2
7836,20200101,1
13518,20200101,2
13556,20200101,1
7682,20200101,1
7669,20200101,2
13511,20200101,2
13513,20200101,1
13514,20200101,1
15038,20200101,2
8000,20200101,1
13512,20200101,2
14390,20200101,1
15156,20200101,2
14703,20200101,2
15041,20200101,1
13612,20200101,2
7730,20200101,1
11617,20200101,2
11618,20200101,2
9253,20200101,2
13582,20200101,1
10748,20200101,2
13517,20200101,2
13335,20200101,1
13530,20200101,2
13788,20200101,1
13531,20200101,2
13566,20200101,1
13532,20200101,2
13569,20200101,1
13519,20200101,2
13337,20200101,1
13526,20200101,2
7731,20200101,1
13528,20200101,2
13553,20200101,1
13529,20200101,2
13554,20200101,1
13613,20200101,2
13614,20200101,2
13623,20200101,1
14969,20200101,2
14974,20200101,2
13615,20200101,2
13624,20200101,1
10135,20200101,1
14975,20200101,2
10136,20200101,1
13520,20200101,2
7523,20200101,1
15078,20200101,1
13542,20200101,2
13521,20200101,2
13522,20200101,1
13559,20200101,2
13558,20200101,1
11451,20200101,1
11431,20200101,1
14972,20200101,2
11445,20200101,1
11444,20200101,2
13568,20200101,2
15024,20200101,2
15022,20200101,1
13989,20200101,1
13987,20200101,2
14799,20200101,2
15018,20200101,1
15019,20200101,2
14804,20200101,2
14720,20200101,1
14802,20200101,2
14173,20200101,1
14174,20200101,2
13722,20200101,1
13414,20200101,2
9706,20200101,2
9715,20200101,1
14876,20200101,2
15190,20200101,1
13080,20200101,2
13097,20200101,1
13112,20200101,2
13098,20200101,1
11496,20200101,2
14660,20200101,1
14878,20200101,2
14879,20200101,1
13084,20200101,2
13101,20200101,1
14880,20200101,2
13102,20200101,1
14881,20200101,2
14882,20200101,1
14556,20200101,1
14887,20200101,2
14889,20200101,2
13105,20200101,1
14999,20200101,2
9299,20200101,1
13090,20200101,2
11302,20200101,1
14886,20200101,2
14555,20200101,1
14890,20200101,2
13109,20200101,1
14888,20200101,2
13436,20200101,1
13111,20200101,1
13631,20200101,2
