Ier_ID,Parks,TranspVeids,GarNr,MarsrNos,TMarsruts,Virziens,Laiks,ValidTalonaId
1870,7 parks,Autobuss,76887,Abrenes - Garkalnes Mucenieki,A 16,Back,23.11.2018 09:53:37,3
1871,5 parks,Tramvajs,57171,Ausekļa iela - Mežaparks,Tm 11,Back,23.11.2018 11:38:03,3
1872,5 parks,Tramvajs,57147,Imanta - Jugla,Tm 1,Back,23.11.2018 11:52:25,3
2575,6 parks,Autobuss,69189,Daugavgrīva - Pļavnieki,A 3,Back,23.11.2018 11:36:17,2
2576,6 parks,Autobuss,62517,Stacijas laukums - Daugavgrīva,A 30,Back,23.11.2018 16:29:34,2
2604,5 parks,Tramvajs,58055,Ausekļa iela - Mežaparks,Tm 11,Back,23.11.2018 16:52:24,1
3081,2 parks,Trolejbuss,26727,Brīvības iela - Iļģuciems,Tr 25,Back,23.11.2018 12:09:56,4
3082,2 parks,Trolejbuss,29429,Brīvības iela - Iļģuciems,Tr 25,Back,23.11.2018 12:59:07,4
3083,2 parks,Trolejbuss,28401,Brīvības iela - Iļģuciems,Tr 25,Back,23.11.2018 13:49:56,4
3084,7 parks,Autobuss,74864,Babītes stacija - Preču 2,A 13,Forth,23.11.2018 14:19:59,4
3126,7 parks,Autobuss,79501,Imanta 5 - Jugla 3,A 21,Forth,23.11.2018 10:34:01,5
3127,2 parks,Trolejbuss,28491,Stacijas laukums -Ziepniekkalns,Tr 27,Forth,23.11.2018 11:22:13,5
3128,2 parks,Trolejbuss,28456,Stacijas laukums -Ziepniekkalns,Tr 27,Back,23.11.2018 12:07:34,5
3129,6 parks,Autobuss,62463,Abrenes iela - Lāčupes kapi,A 39,Forth,23.11.2018 12:22:35,5
3130,7 parks,Autobuss,79501,Imanta 5 - Jugla 3,A 21,Back,23.11.2018 12:49:40,5
17972,5 parks,Tramvajs,57169,Imanta - Jugla,Tm 1,Forth,23.11.2018 08:59:52,13
17973,5 parks,Tramvajs,57060,Imanta - Jugla,Tm 1,Forth,23.11.2018 09:57:09,13
17974,3 parks,Tramvajs,35217,Ausekļa iela - 'Dole',Tm 7,Back,23.11.2018 10:08:50,13
17975,6 parks,Autobuss,65045,Esplanāde - Imanta 5,A 41,Back,23.11.2018 10:22:47,13
17976,2 parks,Trolejbuss,27134,Centrāltirgus - Sarkandaugava,Tr 3,Back,23.11.2018 10:26:52,13
17977,7 parks,Autobuss,76941,MAN-TESS - Rumbula,A 49,Forth,23.11.2018 10:59:22,13
17978,1 parks,Trolejbuss,19530,Centrāltirgus - Ieriķu iela,Tr 13,Forth,23.11.2018 11:22:06,13
17979,1 parks,Trolejbuss,19530,Centrāltirgus - Ieriķu iela,Tr 13,Back,23.11.2018 11:41:38,13
17980,2 parks,Trolejbuss,29233,Centrālā stacija - Purvciems,Tr 23,Back,23.11.2018 12:11:19,13
17981,2 parks,Trolejbuss,26716,Trolejbusa Parks - Maršruts,Tr 101,Back,23.11.2018 12:26:07,13
17982,5 parks,Tramvajs,51656,Ausekļa iela - Mežaparks,Tm 11,Back,23.11.2018 15:16:17,13
17983,1 parks,Trolejbuss,19650,Valmieras iela  -  Pētersalas iela,Tr 1,Back,23.11.2018 15:49:48,13
17984,5 parks,Tramvajs,57169,Imanta - Jugla,Tm 1,Back,23.11.2018 18:25:33,13
23792,1 parks,Trolejbuss,17529,E.Birznieka Upiša - Pļavnieki,Tr 22,Forth,23.11.2018 11:47:19,9
23793,6 parks,Autobuss,69047,Daugavgrīva - Pļavnieki,A 3,Back,23.11.2018 11:58:02,9
23794,2 parks,Trolejbuss,27298,Brīvības iela - Iļģuciems,Tr 25,Back,23.11.2018 12:10:02,9
23795,6 parks,Autobuss,69657,Esplanāde - Imanta 5,A 41,Forth,23.11.2018 12:24:12,9
23796,6 parks,Autobuss,65252,Esplanāde - Imanta 5,A 37,Back,23.11.2018 13:11:26,9
23797,2 parks,Trolejbuss,29342,Brīvības iela - Iļģuciems,Tr 25,Back,23.11.2018 13:31:01,9
23798,5 parks,Tramvajs,50857,Ausekļa iela - Mežaparks,Tm 11,Forth,23.11.2018 13:39:07,9
23799,7 parks,Autobuss,76157,Pļavnieku kapi - Sarkandaugava,A 48,Back,23.11.2018 15:23:08,9
23800,7 parks,Autobuss,75521,Dārziņi - Jugla 3,A 31,Back,23.11.2018 15:56:24,9
24195,5 parks,Tramvajs,51656,Ausekļa iela - Mežaparks,Tm 11,Forth,23.11.2018 09:42:38,19
24196,5 parks,Tramvajs,51656,Ausekļa iela - Mežaparks,Tm 11,Back,23.11.2018 10:38:29,19
24197,1 parks,Trolejbuss,16055,Latv. Universitāte - Višķu,Tr 15,Forth,23.11.2018 11:09:41,19
24198,1 parks,Trolejbuss,16231,Latv. Universitāte - Višķu,Tr 15,Back,23.11.2018 11:22:12,19
24199,7 parks,Autobuss,79022,Abrenes iela - Lidosta,A 22,Forth,23.11.2018 11:36:31,19
24200,1 parks,Trolejbuss,19574,Daugavas st. - Klīniskā slimnīca,Tr 5,Forth,23.11.2018 11:54:08,19
24201,2 parks,Trolejbuss,28401,Brīvības iela - Iļģuciems,Tr 25,Forth,23.11.2018 12:06:11,19
24202,2 parks,Trolejbuss,27145,Brīvības iela - Iļģuciems,Tr 25,Back,23.11.2018 14:39:45,19
24203,1 parks,Trolejbuss,17540,Centrāltirgus - Sarkandaugava,Tr 3,Back,23.11.2018 15:10:13,19
24204,5 parks,Tramvajs,51656,Ausekļa iela - Mežaparks,Tm 11,Forth,23.11.2018 15:43:15,19
24205,5 parks,Tramvajs,51656,Ausekļa iela - Mežaparks,Tm 11,Back,23.11.2018 16:28:53,19
24206,5 parks,Tramvajs,51656,Ausekļa iela - Mežaparks,Tm 11,Forth,23.11.2018 17:05:20,19
24207,5 parks,Tramvajs,51111,Ausekļa iela - Mežaparks,Tm 11,Back,23.11.2018 17:34:05,19
24208,5 parks,Tramvajs,57060,Imanta - Jugla,Tm 1,Back,23.11.2018 17:51:56,19
24209,3 parks,Tramvajs,30329,Iļģuciems - Mīlgrāvis,Tm 5,Forth,23.11.2018 20:16:40,19
24210,5 parks,Tramvajs,51830,Imanta - Jugla,Tm 1,Forth,23.11.2018 20:39:45,19
24211,2 parks,Trolejbuss,29386,Centrālā stacija - Purvciems,Tr 17,Forth,23.11.2018 21:14:44,19
24212,2 parks,Trolejbuss,27243,Centrālā stacija - Purvciems,Tr 17,Forth,23.11.2018 22:02:04,19
24213,2 parks,Trolejbuss,27243,Centrālā stacija - Purvciems,Tr 17,Back,23.11.2018 22:15:02,19
26796,7 parks,Autobuss,70753,Abrenes iela - Škirotava,A 47,Back,23.11.2018 10:45:37,6
