stop_id,stop_name,stop_lat,stop_lon
1518,Ferrum Agro,56.96953,24.37367
1519,Ferrum Agro,56.96959,24.37377
5032,Ulbrokas vidusskola,56.92910,24.32064
5003,11.novembra krastmala,56.94577,24.10541
1025a,13.janvāra iela,56.94543,24.11311
1025b,13.janvāra iela,56.94571,24.11373
1025,13.janvāra iela,56.94562,24.11349
1251a,Autoosta,56.94639,24.11635
1251b,Autoosta,56.94621,24.11589
0529,Jaunciema 8.šķērslīnija,57.03792,24.18472
0173,Jaunciema kapi,57.04154,24.18861
1297,Bauskas šoseja,56.88129,24.16033
5259,Pagrieziens uz Baložiem,56.88551,24.15430
1296,Pagrieziens uz Baložiem,56.88442,24.15526
5323,Rāmava,56.88995,24.14813
5322,Rāmava,56.89110,24.14684
6445,Titurga,56.88204,24.15863
2038,Aristida Briāna iela,56.96286,24.12589
2032,K.Valdemāra iela,56.96291,24.12541
2039,Miera iela,56.96539,24.13254
0003,A.Čaka iela,56.96361,24.14962
0182,Dzirnavu iela,56.95058,24.12535
0114,Dzirnavu iela,56.95064,24.12520
0148,Ģertrūdes iela,56.95363,24.13146
2063,Ģertrūdes iela,56.95335,24.13082
0273,Matīsa iela,56.95654,24.13698
0270,Matīsa iela,56.95639,24.13647
0345,Pērnavas iela,56.96325,24.14954
0470,Tallinas iela,56.95896,24.14143
0469,Tallinas iela,56.95934,24.14199
5342,A.Saharova iela,56.94603,24.20855
5343,A.Saharova iela,56.94664,24.20523
5035a,Baltinavas iela,56.94320,24.23254
5036a,Baltinavas iela,56.94340,24.23110
0090,Dārzciema iela,56.94944,24.18412
5088,Dārzciema iela,56.94890,24.18737
0098,Daugavas stadions,56.95332,24.15537
5090,Daugavas stadions,56.95328,24.15477
5140,Ilūkstes iela,56.94743,24.19842
5141,Ilūkstes iela,56.94810,24.19430
9095,Kaivas iela,56.94398,24.24129
9096,Kaivas iela,56.94413,24.23991
0245,Lienes iela,56.95353,24.14738
0244,Lienes iela,56.95365,24.14774
5197,Liepiņas,56.94422,24.22229
5198,Liepiņas,56.94460,24.22103
0310,Nīcgales iela,56.95110,24.17079
0308,Nīcgales iela,56.95101,24.17224
9100,Ulbrokas iela 13,56.94587,24.21135
9101,Ulbrokas iela 13,56.94541,24.21344
7990,Viršu iela,56.95038,24.17627
7991,Viršu iela,56.95041,24.17666
0218,Kreimeņu iela,57.03605,24.09705
0255,"Kultūras pils ""Ziemeļblāzma""",57.03509,24.10036
0254,Martas Rinkas iela,57.03446,24.10240
0283,Melīdas iela,57.03227,24.10902
0282,Melīdas iela,57.03157,24.10997
5456,A.Deglava iela,56.94483,24.20657
5470,A.Saharova iela,56.94396,24.20571
5455,Akadēmiķa M.Keldiša iela,56.94170,24.20522
5471,Akadēmiķa M.Keldiša iela,56.94074,24.20434
0493,Pavasara gatve,56.93406,24.20199
0492,Pavasara gatve,56.93297,24.20106
0394,Rudens iela,56.93786,24.20314
0393,Rudens iela,56.93727,24.20334
5042,Beberbeķi,56.92646,23.91496
5041,Beberbeķi,56.92813,23.91622
5081,Dabas parks,56.93667,23.91854
5080,Dabas parks,56.93688,23.91910
4131,Pagrieziens uz Piņķiem,56.94603,23.92306
4132,Pagrieziens uz Piņķiem,56.94404,23.92294
7749a,Abrenes iela,56.94606,24.13053
7749,Abrenes iela,56.94606,24.13001
7749b,Abrenes iela,56.94607,24.13104
7749c,Abrenes iela,56.94602,24.13139
7749d,Abrenes iela,56.94595,24.13168
1613,Bukulti,57.02085,24.25880
1668,Lejasvīganti,57.00675,24.26126
1669,Lejasvīganti,57.00672,24.26116
2045,Āgenskalna iela,56.94591,24.06205
2046,Āgenskalna priedes,56.94459,24.05949
2094,Aizkraukles iela,56.97558,24.18760
2099,Aizkraukles iela,56.97530,24.18336
2093,"Slimnīca ""Linezers""",56.97710,24.19293
0196,Akadēmiķa M.Keldiša iela,56.94045,24.19660
0005,Dzeņu iela,56.93912,24.20657
0004,Dzeņu iela,56.93943,24.20665
0032,Bākas iela,57.05224,24.06924
0031,Bākas iela,57.05202,24.06830
1072,Anniņmuižas bulvāris,56.95990,24.01233
1085,Anniņmuižas bulvāris,56.96003,24.01380
1077,Anniņmuižas parks,56.95402,24.00860
1084,Anniņmuižas parks,56.95538,24.00893
1071,Kleistu iela,56.96024,24.01804
1086,Kleistu iela,56.95885,24.02189
1433,P.Lejiņa iela,56.94699,24.01210
8069,P.Lejiņa iela,56.94612,24.01144
1432,Priedaines iela,56.94300,24.01762
1431,Priedaines iela,56.94359,24.01609
1537,Apuzes iela,56.93373,24.03027
1427,Jūrkalnes iela,56.93948,24.02227
1428,Jūrkalnes iela,56.93929,24.02242
1429,Šampētera iela,56.93788,24.02483
1430,Šampētera iela,56.93736,24.02542
1403,Asītes iela,56.92182,24.07433
0013,Airu iela,57.04760,24.09548
0014,Airu iela,57.04779,24.09624
0030,Atlantijas iela,57.03779,24.08740
0029,Atlantijas iela,57.03652,24.08643
0337,Ķīļu iela,57.05023,24.10164
0336,Pagrieziens uz Vecmīlgrāvi,57.05054,24.10184
0215,Vecdaugavas iela,57.04450,24.09218
0214,Vecdaugavas iela,57.04459,24.09203
0089,Vecmīlgrāvja D/P,57.04188,24.08950
0088,Vecmīlgrāvja D/P,57.04198,24.08883
0009,Dārziņi,56.89565,24.17327
8015,Mākoņkalns,56.89501,24.16568
8016,Mākoņkalns,56.89506,24.16515
2076,Avotu iela,56.95066,24.13278
2069,Bruņinieku iela,56.95228,24.14022
0272,Matīsa iela,56.95291,24.14361
2070,Stabu iela,56.95149,24.13640
2077,Stabu iela,56.95159,24.13736
2033,Baložu iela,56.94571,24.07205
1307,Pagrieziens uz Baložiem,56.88461,24.15328
1316,Sūkņu stacija,56.88353,24.14728
1308,Sūkņu stacija,56.88349,24.14686
0041,Baltāsbaznīcas iela,57.03630,24.09110
5010,Āgenskalna tirgus,56.93569,24.07240
5011,Āgenskalna tirgus,56.93571,24.07280
1112,E.Smiļģa iela,56.93682,24.07786
1242,E.Smiļģa iela,56.93665,24.07701
5136,Bišumuiža,56.91498,24.14039
5137,Bišumuiža,56.91408,24.14151
1280,Doles iela,56.91584,24.13235
1281,Doles iela,56.91595,24.13443
5294,Jāņa Čakstes gatve,56.90852,24.14607
1264,Koku iela,56.92221,24.09564
1269,Koku iela,56.92208,24.09572
1277,Mazā Stērstu iela,56.91374,24.11830
5295,Piena kombināts,56.91124,24.14529
5324,Rāmava,56.89176,24.14820
1292,Sarma,56.89581,24.14746
1293,Sarma,56.89716,24.14737
1274,Skaistkalnes iela,56.91782,24.10387
1275,Skaistkalnes iela,56.91795,24.10361
1272,Stērstu iela/CSDD,56.91473,24.11341
1273,Stērstu iela/CSDD,56.91500,24.11242
1286,Štrausi,56.90696,24.14627
1287,Štrausi,56.90580,24.14630
5424,Valdlauču centrs,56.90251,24.14668
1289,Valdlauču centrs,56.90124,24.14673
1278,Ziepniekkalna iela,56.91409,24.12139
