stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
1518,,"Ferrum Agro",,56.96953,24.37367,https://saraksti.rigassatiksme.lv/index.html#stop/1518,,
1519,,"Ferrum Agro",,56.96959,24.37377,https://saraksti.rigassatiksme.lv/index.html#stop/1519,,
5032,,"Ulbrokas vidusskola",,56.92910,24.32064,https://saraksti.rigassatiksme.lv/index.html#stop/5032,,
5003,,"11.novembra krastmala",,56.94577,24.10541,https://saraksti.rigassatiksme.lv/index.html#stop/5003,,
1025a,,"13.janvāra iela",,56.94543,24.11311,https://saraksti.rigassatiksme.lv/index.html#stop/1025a,,
1025b,,"13.janvāra iela",,56.94571,24.11373,https://saraksti.rigassatiksme.lv/index.html#stop/1025b,,
1025,,"13.janvāra iela",,56.94562,24.11349,https://saraksti.rigassatiksme.lv/index.html#stop/1025,,
1251a,,"Autoosta",,56.94639,24.11635,https://saraksti.rigassatiksme.lv/index.html#stop/1251a,,
1251b,,"Autoosta",,56.94621,24.11589,https://saraksti.rigassatiksme.lv/index.html#stop/1251b,,
0529,,"Jaunciema 8.šķērslīnija",,57.03792,24.18472,https://saraksti.rigassatiksme.lv/index.html#stop/0529,,
0173,,"Jaunciema kapi",,57.04154,24.18861,https://saraksti.rigassatiksme.lv/index.html#stop/0173,,
1297,,"Bauskas šoseja",,56.88129,24.16033,https://saraksti.rigassatiksme.lv/index.html#stop/1297,,
5259,,"Pagrieziens uz Baložiem",,56.88551,24.15430,https://saraksti.rigassatiksme.lv/index.html#stop/5259,,
1296,,"Pagrieziens uz Baložiem",,56.88442,24.15526,https://saraksti.rigassatiksme.lv/index.html#stop/1296,,
5323,,"Rāmava",,56.88995,24.14813,https://saraksti.rigassatiksme.lv/index.html#stop/5323,,
5322,,"Rāmava",,56.89110,24.14684,https://saraksti.rigassatiksme.lv/index.html#stop/5322,,
6445,,"Titurga",,56.88204,24.15863,https://saraksti.rigassatiksme.lv/index.html#stop/6445,,
2038,,"Aristida Briāna iela",,56.96286,24.12589,https://saraksti.rigassatiksme.lv/index.html#stop/2038,,
2032,,"K.Valdemāra iela",,56.96291,24.12541,https://saraksti.rigassatiksme.lv/index.html#stop/2032,,
2039,,"Miera iela",,56.96539,24.13254,https://saraksti.rigassatiksme.lv/index.html#stop/2039,,
0003,,"A.Čaka iela",,56.96361,24.14962,https://saraksti.rigassatiksme.lv/index.html#stop/0003,,
0182,,"Dzirnavu iela",,56.95058,24.12535,https://saraksti.rigassatiksme.lv/index.html#stop/0182,,
0114,,"Dzirnavu iela",,56.95064,24.12520,https://saraksti.rigassatiksme.lv/index.html#stop/0114,,
0148,,"Ģertrūdes iela",,56.95363,24.13146,https://saraksti.rigassatiksme.lv/index.html#stop/0148,,
2063,,"Ģertrūdes iela",,56.95335,24.13082,https://saraksti.rigassatiksme.lv/index.html#stop/2063,,
0273,,"Matīsa iela",,56.95654,24.13698,https://saraksti.rigassatiksme.lv/index.html#stop/0273,,
0270,,"Matīsa iela",,56.95639,24.13647,https://saraksti.rigassatiksme.lv/index.html#stop/0270,,
0345,,"Pērnavas iela",,56.96325,24.14954,https://saraksti.rigassatiksme.lv/index.html#stop/0345,,
0470,,"Tallinas iela",,56.95896,24.14143,https://saraksti.rigassatiksme.lv/index.html#stop/0470,,
0469,,"Tallinas iela",,56.95934,24.14199,https://saraksti.rigassatiksme.lv/index.html#stop/0469,,
5342,,"A.Saharova iela",,56.94603,24.20855,https://saraksti.rigassatiksme.lv/index.html#stop/5342,,
5343,,"A.Saharova iela",,56.94664,24.20523,https://saraksti.rigassatiksme.lv/index.html#stop/5343,,
