route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
riga_bus_5T,11967,1,"Stacijas laukums",,85822,riga_bus_5T_a-b,
riga_bus_5T,11967,2,"Stacijas laukums",,85823,riga_bus_5T_a-b,
riga_bus_5T,11967,3,"Stacijas laukums",,85822,riga_bus_5T_a-b,
riga_bus_5T,11967,4,"Stacijas laukums",,85823,riga_bus_5T_a-b,
riga_bus_5T,11967,5,"Stacijas laukums",,85822,riga_bus_5T_a-b,
riga_bus_5T,11967,6,"Stacijas laukums",,85823,riga_bus_5T_a-b,
riga_bus_5T,11967,7,"Stacijas laukums",,85822,riga_bus_5T_a-b,
riga_bus_5T,11967,8,"Stacijas laukums",,85823,riga_bus_5T_a-b,
riga_bus_5T,11967,9,"Stacijas laukums",,85822,riga_bus_5T_a-b,
riga_bus_5T,11967,10,"Stacijas laukums",,85821,riga_bus_5T_a-b,
riga_bus_5T,11967,11,"Stacijas laukums",,85823,riga_bus_5T_a-b,
riga_bus_5T,11967,12,"Stacijas laukums",,85822,riga_bus_5T_a-b,
riga_bus_5T,11967,13,"Stacijas laukums",,85821,riga_bus_5T_a-b,
riga_bus_5T,11967,14,"Stacijas laukums",,85823,riga_bus_5T_a-b,
riga_bus_5T,11967,15,"Stacijas laukums",,85822,riga_bus_5T_a-b,
riga_bus_5T,11967,16,"Stacijas laukums",,85821,riga_bus_5T_a-b,
riga_bus_5T,11967,17,"Stacijas laukums",,85823,riga_bus_5T_a-b,
riga_bus_5T,11967,18,"Stacijas laukums",,85822,riga_bus_5T_a-b,
riga_bus_5T,11967,19,"Stacijas laukums",,85821,riga_bus_5T_a-b,
riga_bus_5T,11967,20,"Stacijas laukums",,85823,riga_bus_5T_a-b,
riga_bus_5T,11967,21,"Stacijas laukums",,85822,riga_bus_5T_a-b,
riga_bus_5T,11967,22,"Stacijas laukums",,85821,riga_bus_5T_a-b,
riga_bus_5T,11967,23,"Stacijas laukums",,85823,riga_bus_5T_a-b,
riga_bus_5T,11967,24,"Stacijas laukums",,85822,riga_bus_5T_a-b,
riga_bus_5T,11967,25,"Stacijas laukums",,85821,riga_bus_5T_a-b,
riga_bus_5T,11967,26,"Stacijas laukums",,85823,riga_bus_5T_a-b,
riga_bus_5T,11967,27,"Stacijas laukums",,85822,riga_bus_5T_a-b,
riga_bus_5T,11967,28,"Stacijas laukums",,85821,riga_bus_5T_a-b,
riga_bus_5T,11967,29,"Stacijas laukums",,85823,riga_bus_5T_a-b,
riga_bus_5T,11967,30,"Stacijas laukums",,85822,riga_bus_5T_a-b,
riga_bus_5T,11967,31,"Stacijas laukums",,85821,riga_bus_5T_a-b,
riga_bus_5T,11967,32,"Stacijas laukums",,85823,riga_bus_5T_a-b,
riga_bus_5T,11967,33,"Stacijas laukums",,85822,riga_bus_5T_a-b,
riga_bus_5T,11967,34,"Stacijas laukums",,85821,riga_bus_5T_a-b,
riga_bus_5T,11967,35,"Stacijas laukums",,85823,riga_bus_5T_a-b,
riga_bus_5T,11967,36,"Stacijas laukums",,85822,riga_bus_5T_a-b,
riga_bus_5T,11967,37,"Stacijas laukums",,85821,riga_bus_5T_a-b,
riga_bus_5T,11967,38,"Stacijas laukums",,85823,riga_bus_5T_a-b,
riga_bus_5T,11967,39,"Stacijas laukums",,85822,riga_bus_5T_a-b,
riga_bus_5T,11967,40,"Stacijas laukums",,85821,riga_bus_5T_a-b,
riga_bus_5T,11967,41,"Stacijas laukums",,85823,riga_bus_5T_a-b,
riga_bus_5T,11967,42,"Stacijas laukums",,85822,riga_bus_5T_a-b,
riga_bus_5T,11967,43,"Stacijas laukums",,85821,riga_bus_5T_a-b,
riga_bus_5T,11967,44,"Stacijas laukums",,85823,riga_bus_5T_a-b,
riga_bus_5T,11967,45,"Stacijas laukums",,85822,riga_bus_5T_a-b,
riga_bus_5T,11967,46,"Stacijas laukums",,85821,riga_bus_5T_a-b,
riga_bus_5T,11967,47,"Stacijas laukums",,85823,riga_bus_5T_a-b,
riga_bus_5T,11967,48,"Stacijas laukums",,85822,riga_bus_5T_a-b,
riga_bus_5T,11967,49,"Stacijas laukums",,85821,riga_bus_5T_a-b,
riga_bus_5T,11967,50,"Stacijas laukums",,85823,riga_bus_5T_a-b,
riga_bus_5T,11966,51,"Stacijas laukums",,85815,riga_bus_5T_a-b,
riga_bus_5T,11966,52,"Stacijas laukums",,85816,riga_bus_5T_a-b,
riga_bus_5T,11966,53,"Stacijas laukums",,85813,riga_bus_5T_a-b,
riga_bus_5T,11966,54,"Stacijas laukums",,85815,riga_bus_5T_a-b,
riga_bus_5T,11966,55,"Stacijas laukums",,85820,riga_bus_5T_a-b,
riga_bus_5T,11966,56,"Stacijas laukums",,85816,riga_bus_5T_a-b,
